"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"13310","385_water heaters                            ","7/14/2009",720.98,604.08,"S/L",27.5,"385","Equipment",4.47,23.03,"None","water heater"
"13311","385_range and hood                           ","8/5/2009",450.08,12.96,"200DB",5,"385","Equipment",4.41,0.59,"None","range"
"13312","385_water heater                             ","8/5/2009",358.62,301.57,"S/L",27.5,"385","Equipment",4.41,23.09,"None","water heater"
"13313","385_roof rpl                                 ","8/19/2009",24685,20757.83,"S/L",27.5,"385","Capital Improvements",4.37,23.13,"None","roof"
"13314","385_dishwaher                                ","8/27/2009",279.39,8.05,"200DB",5,"385","Equipment",4.35,0.65,"None","None"
"13315","360_supervision                              ","8/31/2009",2878.5,2420.57,"S/L",27.5,"385","Capital Improvements",4.34,23.16,"None","supervision"
"13316","385_gutters                                  ","8/31/2009",4100,3447.73,"S/L",27.5,"385","Capital Improvements",4.34,23.16,"None","gutter"
"13317","385_range hood                               ","9/3/2009",39.91,1.15,"200DB",5,"385","Equipment",4.33,0.67,"repair below $200","range"
"13318","385_range                                    ","9/9/2009",740.53,21.33,"200DB",5,"385","Equipment",4.31,0.69,"None","range"
"13319","385_water heaters                            ","9/9/2009",1075.84,907.95,"S/L",27.5,"385","Equipment",4.31,23.19,"None","water heater"
"13320","385_ac unit                                  ","9/23/2009",592.92,500.39,"S/L",27.5,"385","Equipment",4.27,23.23,"None","None"
"13321","385_dryers                                   ","9/23/2009",1400,40.32,"200DB",5,"385","Equipment",4.27,0.73,"None","dryer"
"13322","385_stove                                    ","10/14/2009",361.51,10.41,"200DB",5,"385","Equipment",4.22,0.78,"None","range"
"13323","385_range hood                               ","10/20/2009",38.97,1.12,"200DB",5,"385","Equipment",4.2,0.8,"repair below $200","range"
"13324","385_water heater                             ","10/26/2009",356.74,302.16,"S/L",27.5,"385","Equipment",4.18,23.32,"None","water heater"
"13325","385_range                                    ","11/4/2009",452.84,13.04,"200DB",5,"385","Equipment",4.16,0.84,"None","range"
"13326","385_tree trimming                            ","11/18/2009",225,70.11,"150DB",15,"385","Capital Improvements",4.12,10.88,"None","None"
"13327","385_ladder                                   ","11/24/2009",221.49,6.38,"200DB",5,"385","Equipment",4.1,0.9,"None","None"
"13328","385_venthoods                                ","11/24/2009",79.4,2.29,"200DB",5,"385","Equipment",4.1,0.9,"repair below $200","range"
"13329","385_dryer vent installs                      ","11/30/2009",5585,160.85,"200DB",5,"385","Furniture & Fixtures",4.09,0.91,"None","dryer"
"13330","385_venthood                                 ","12/8/2009",79.4,2.29,"200DB",5,"385","Equipment",4.07,0.93,"repair below $200","range"
"13331","385_dishwasher                               ","12/16/2009",253.42,7.3,"200DB",5,"385","Equipment",4.04,0.96,"None","dishwasher"
"13332","385_range                                    ","12/16/2009",736.66,21.22,"200DB",5,"385","Equipment",4.04,0.96,"None","range"
"13333","385_water heaters                            ","12/16/2009",700.56,597.62,"S/L",27.5,"385","Equipment",4.04,23.46,"None","water heater"
"13334","385_refrigerator                             ","12/31/2009",603.29,17.37,"200DB",5,"385","Equipment",4,1,"None","refrigerator"
"13335","385_water heaters                            ","1/1/2010",1050.84,899.59,"S/L",27.5,"385","Equipment",4,23.5,"None","water heater"
"13336","385_water heater                             ","2/3/2010",350.28,300.91,"S/L",27.5,"385","Equipment",3.91,23.59,"None","water heater"
"13337","385_furnace                                  ","2/17/2010",453.08,389.22,"S/L",27.5,"385","Equipment",3.87,23.63,"None","furniture"
"13338","385_dishwasher                               ","2/17/2010",256.09,22.13,"200DB",5,"385","Equipment",3.87,1.13,"None","dishwasher"
"13339","385_water heaters                            ","3/3/2010",707.92,610.32,"S/L",27.5,"385","Equipment",3.83,23.67,"None","water heater"
"13340","385_venthoods                                ","3/18/2010",80.22,6.93,"200DB",5,"385","Equipment",3.79,1.21,"repair below $200","range"
"13341","385_dishwasher                               ","4/8/2010",303.78,26.25,"200DB",5,"385","Equipment",3.73,1.27,"None","dishwasher"
"13342","385_water heater                             ","4/23/2010",353.96,306.23,"S/L",27.5,"385","Equipment",3.69,23.81,"None","water heater"
"13343","385_venthoods                                ","4/28/2010",119.22,10.3,"200DB",5,"385","Equipment",3.68,1.32,"repair below $200","range"
"13344","385_refrigerator                             ","4/28/2010",575.42,49.72,"200DB",5,"385","Equipment",3.68,1.32,"None","refrigerator"
"13345","385_ac unit                                  ","5/1/2010",670.81,582.39,"S/L",27.5,"385","Equipment",3.67,23.83,"None","None"
"13346","385_stove and hoods                          ","5/1/2010",496.58,42.91,"200DB",5,"385","Equipment",3.67,1.33,"None","range"
"13347","385_dryer vent                               ","5/5/2010",320,27.65,"200DB",5,"385","Furniture & Fixtures",3.66,1.34,"None","dryer"
"13348","385_supervision                              ","5/31/2010",32,27.79,"S/L",27.5,"385","Capital Improvements",3.59,23.91,"repair below $200","supervision"
"13350","385_ranges hoods                             ","6/1/2010",850.11,73.45,"200DB",5,"385","Equipment",3.59,1.41,"None","range"
"13351","385_dishwashers                              ","6/1/2010",858.48,74.17,"200DB",5,"385","Equipment",3.59,1.41,"None","dishwasher"
"13352","385_water heaters                            ","6/10/2010",704.8,614.03,"S/L",27.5,"385","Equipment",3.56,23.94,"None","water heater"
"13353","385_refridgerator                            ","6/18/2010",587.87,50.79,"200DB",5,"385","Equipment",3.54,1.46,"None","refrigerator"
"13354","385_condensing units                         ","6/24/2010",1428.72,1244.73,"S/L",27.5,"385","Equipment",3.52,23.98,"None","condenser"
"13355","385_a/c units                                ","7/1/2010",3602.12,3149.11,"S/L",27.5,"385","Equipment",3.5,24,"None","hvac"
"13356","385_water heaters                            ","7/1/2010",702.97,614.57,"S/L",27.5,"385","Equipment",3.5,24,"None","water heater"
"13357","385_stove                                    ","7/2/2010",372.21,32.16,"200DB",5,"385","Equipment",3.5,1.5,"None","range"
"13358","385_buildings - chestnut creek               ","7/13/2010",2218780,1939751.6,"S/L",27.5,"385","Building",3.47,24.03,"None","None"
"13361","385_stove                                    ","8/1/2010",370.27,31.99,"200DB",5,"385","Equipment",3.42,1.58,"None","range"
"13362","385_refrigerator                             ","8/1/2010",510.54,44.11,"200DB",5,"385","Equipment",3.42,1.58,"None","refrigerator"
"13363","385_dryer vent                               ","8/1/2010",300,25.92,"200DB",5,"385","Furniture & Fixtures",3.42,1.58,"None","dryer"
"13364","385_3 ton goodman                            ","8/4/2010",914.85,802.56,"S/L",27.5,"385","Equipment",3.41,24.09,"None","HVAC"
"13365","385_water heaters                            ","8/4/2010",1051.71,922.65,"S/L",27.5,"385","Equipment",3.41,24.09,"None","water heater"
"13366","385_stove                                    ","8/11/2010",340.2,29.39,"200DB",5,"385","Equipment",3.39,1.61,"None","range"
"13367","385_refrigerator                             ","8/11/2010",459,39.66,"200DB",5,"385","Equipment",3.39,1.61,"None","refrigerator"
"13368","385_range hood                               ","8/13/2010",140.18,12.11,"200DB",5,"385","Equipment",3.39,1.61,"repair below $200","range"
"13369","385_range hoods                              ","8/18/2010",170.86,14.76,"200DB",5,"385","Equipment",3.37,1.63,"repair below $200","range"
"13370","385_dishwasher                               ","8/19/2010",221.4,19.13,"200DB",5,"385","Equipment",3.37,1.63,"None","dishwasher"
"13371","385_supervision fee                          ","8/31/2010",30,26.32,"S/L",27.5,"385","Capital Improvements",3.34,24.16,"repair below $200","supervision"
"13372","2.5 ton goodman                              ","8/31/2010",714.36,626.68,"S/L",27.5,"385","Equipment",3.34,24.16,"None","HVAC"
"13373","385_a/c compressor                           ","8/31/2010",408.5,358.38,"S/L",27.5,"385","Equipment",3.34,24.16,"None","hvac"
"13374","385_90k btu gas furnace                      ","8/31/2010",520.37,456.51,"S/L",27.5,"385","Equipment",3.34,24.16,"None","furniture"
"13375","385_a/c compressor                           ","8/31/2010",404.35,354.74,"S/L",27.5,"385","Equipment",3.34,24.16,"None","hvac"
"13376","385_tree removal                             ","9/1/2010",525,181.79,"150DB",15,"385","Capital Improvements",3.33,11.67,"None","removal"
"13377","385_ext paint                                ","9/1/2010",80.38,70.77,"S/L",27.5,"385","Capital Improvements",3.33,24.17,"repair below $200","painting"
"13378","385_plumbing repair                          ","9/1/2010",125,110.02,"S/L",27.5,"385","Capital Improvements",3.33,24.17,"repair below $200","repair"
"13379","385_2 a/c units                              ","9/2/2010",1707.15,1502.8,"S/L",27.5,"385","Equipment",3.33,24.17,"None","hvac"
"13381","385_fab screens                              ","9/16/2010",17.63,15.52,"S/L",27.5,"385","Capital Improvements",3.29,24.21,"repair below $200","None"
"13382","385_water heater                             ","9/21/2010",350.57,308.6,"S/L",27.5,"385","Equipment",3.28,24.22,"None","water heater"
"13385","385_supervision fee                          ","9/30/2010",22.3,19.63,"S/L",27.5,"385","Capital Improvements",3.25,24.25,"repair below $200","supervision"
"13386","385_roofing shingles                         ","10/1/2010",54163,47843.99,"S/L",27.5,"385","Capital Improvements",3.25,24.25,"None","roof"
"13387","385_membrane roofing                         ","10/1/2010",188079.6,166136.97,"S/L",27.5,"385","Capital Improvements",3.25,24.25,"None","roof"
"13388","385_window screens                           ","10/1/2010",97.17,85.84,"S/L",27.5,"385","Capital Improvements",3.25,24.25,"repair below $200","None"
"13392","385_5 water heaters                          ","10/5/2010",1812.69,1601.2,"S/L",27.5,"385","Equipment",3.24,24.26,"None","water heater"
"13394","385_8 a/c units                              ","10/14/2010",5218.9,4610.02,"S/L",27.5,"385","Equipment",3.22,24.28,"None","hvac"
"13397","385_field supervision                        ","10/31/2010",14335,12662.59,"S/L",27.5,"385","Capital Improvements",3.17,24.33,"None","supervision"
"13398","385_supervision                              ","10/31/2010",26134.1,23085.12,"S/L",27.5,"385","Capital Improvements",3.17,24.33,"None","supervision"
"13399","385_field supervision                        ","11/1/2010",8016.95,7105.92,"S/L",27.5,"385","Capital Improvements",3.17,24.33,"None","supervision"
"13400","385_supervision                              ","11/1/2010",22910.9,20307.4,"S/L",27.5,"385","Capital Improvements",3.17,24.33,"None","supervision"
"13401","385_shingles/roofing                         ","11/1/2010",23424.2,20762.36,"S/L",27.5,"385","Capital Improvements",3.17,24.33,"None","roof"
"13402","385_membrane roofing                         ","11/1/2010",90557.2,80266.61,"S/L",27.5,"385","Capital Improvements",3.17,24.33,"None","roof"
"13405","385_toilets                                  ","11/1/2010",89133.72,79004.88,"S/L",27.5,"385","Furniture & Fixtures",3.17,24.33,"None","toilets"
"13406","385_shower heads/sink aerators               ","11/1/2010",12990,11513.87,"S/L",27.5,"385","Furniture & Fixtures",3.17,24.33,"None","None"
"13407","385_water heater                             ","11/2/2010",373.2,330.79,"S/L",27.5,"385","Equipment",3.16,24.34,"None","water heater"
"13409","385_gas furnace                              ","11/9/2010",443.64,393.23,"S/L",27.5,"385","Equipment",3.15,24.35,"None","furniture"
"13410","385_window screening                         ","11/10/2010",1643.48,1456.73,"S/L",27.5,"385","Capital Improvements",3.14,24.36,"None","None"
"13411","385_ray canada reimb's                       ","11/30/2010",451.43,400.12,"S/L",27.5,"385","Capital Improvements",3.09,24.41,"None","None"
"13413","385_structural steel                         ","12/1/2010",6106.1,5430.73,"S/L",27.5,"385","Capital Improvements",3.08,24.42,"None","None"
"13414","385_ext painting                             ","12/1/2010",27601.39,24548.5,"S/L",27.5,"385","Capital Improvements",3.08,24.42,"None","painting"
"13416","385_window screening                         ","12/1/2010",91.3,81.2,"S/L",27.5,"385","Furniture & Fixtures",3.08,24.42,"repair below $200","None"
"13419","385_3 water heaters                          ","12/10/2010",1123.98,999.67,"S/L",27.5,"385","Equipment",3.06,24.44,"None","water heater"
"13423","385_construction travel                      ","12/22/2010",59.98,53.35,"S/L",27.5,"385","Capital Improvements",3.03,24.47,"repair below $200","supervision"
"13424","385_field supervision                        ","12/31/2010",6206.02,5519.61,"S/L",27.5,"385","Capital Improvements",3,24.5,"None","supervision"
"13425","385_field supervision                        ","12/31/2010",1987.17,1767.38,"S/L",27.5,"385","Capital Improvements",3,24.5,"None","supervision"
"13426","385_supervision                              ","12/31/2010",5077.2,4515.62,"S/L",27.5,"385","Capital Improvements",3,24.5,"None","supervision"
"13428","385_2 water heaters                          ","3/2/2011",705.98,634.32,"S/L",27.5,"385","Equipment",2.84,24.66,"None","water heater"
"13429","385_2 water heaters                          ","4/1/2011",710.59,640.61,"S/L",27.5,"385","Equipment",2.75,24.75,"None","water heater"
"13430","385_3 gas furnaces                           ","1/4/2011",1330.92,1187.74,"S/L",27.5,"385","Equipment",2.99,24.51,"None","furniture"
"13434","385_5 water heaters                          ","1/1/2011",1918.27,1711.9,"S/L",27.5,"385","Equipment",3,24.5,"None","water heater"
"13437","385_constr travel                            ","4/25/2011",92.15,83.08,"S/L",27.5,"385","Capital Improvements",2.69,24.81,"repair below $200","supervision"
"13441","385_ext painting                             ","2/1/2011",39785.13,35625.78,"S/L",27.5,"385","Capital Improvements",2.92,24.58,"None","painting"
"13442","385_ext painting                             ","3/1/2011",41882.14,37630.46,"S/L",27.5,"385","Capital Improvements",2.84,24.66,"None","painting"
"13443","385_exterior painting                        ","1/1/2011",24444.22,21814.62,"S/L",27.5,"385","Capital Improvements",3,24.5,"None","painting"
"13444","385_field supervision                        ","1/31/2011",5365.3,4788.13,"S/L",27.5,"385","Capital Improvements",2.92,24.58,"None","supervision"
"13445","385_field supervision                        ","3/31/2011",6126.4,5504.47,"S/L",27.5,"385","Capital Improvements",2.76,24.74,"None","supervision"
"13446","385_field supervision                        ","4/30/2011",4633.18,4176.88,"S/L",27.5,"385","Capital Improvements",2.67,24.83,"None","supervision"
"13447","385_field suprv                              ","2/28/2011",4916.98,4402.93,"S/L",27.5,"385","Capital Improvements",2.84,24.66,"None","None"
"13450","385_heat pump                                ","2/18/2011",443.64,397.26,"S/L",27.5,"385","Equipment",2.87,24.63,"None","None"
"13456","385_r can constr. reimb                      ","2/28/2011",119.37,106.89,"S/L",27.5,"385","Capital Improvements",2.84,24.66,"repair below $200","None"
"13457","385_r canada travel                          ","3/25/2011",3.06,2.75,"S/L",27.5,"385","Capital Improvements",2.77,24.73,"repair below $200","supervision"
"13465","385_skylights                                ","4/1/2011",390.75,352.27,"S/L",27.5,"385","Capital Improvements",2.75,24.75,"None","lighting"
"13467","385_structural steel                         ","1/1/2011",26338.7,23505.3,"S/L",27.5,"385","Capital Improvements",3,24.5,"None","None"
"13468","385_structural steel                         ","2/1/2011",11673.47,10453.06,"S/L",27.5,"385","Capital Improvements",2.92,24.58,"None","None"
"13469","385_supervision                              ","2/28/2011",6058.6,5425.21,"S/L",27.5,"385","Capital Improvements",2.84,24.66,"None","supervision"
"13470","385_supervision                              ","3/31/2011",12143.9,10911.1,"S/L",27.5,"385","Capital Improvements",2.76,24.74,"None","supervision"
"13471","385_supervision                              ","4/30/2011",3913.9,3528.45,"S/L",27.5,"385","Capital Improvements",2.67,24.83,"None","supervision"
"13472","385_supervision fee                          ","1/31/2011",8308.3,7414.53,"S/L",27.5,"385","Capital Improvements",2.92,24.58,"None","supervision"
"13473","385_termite treatment                        ","1/1/2011",7160,6389.76,"S/L",27.5,"385","Capital Improvements",3,24.5,"None","None"
"13474","385_termite treatment                        ","3/2/2011",7160,6433.16,"S/L",27.5,"385","Capital Improvements",2.84,24.66,"None","None"
"13475","385_wall plates                              ","1/1/2011",32.1,28.64,"S/L",27.5,"385","Capital Improvements",3,24.5,"repair below $200","None"
"13476","385_water heater                             ","2/2/2011",744.22,666.42,"S/L",27.5,"385","Equipment",2.91,24.59,"None","water heater"
"13477","385_water meter receptacles                  ","3/1/2011",1700,1527.42,"S/L",27.5,"385","Capital Improvements",2.84,24.66,"None","water heater"
"13479","air conditioning & heat                      ","6/1/2011",4441.51,4031.01,"S/L",27.5,"385","Capital Improvements",2.59,24.91,"None","HVAC"
"13480","air conditioning & heat                      ","7/1/2011",1853.76,1688.04,"S/L",27.5,"385","Capital Improvements",2.5,25,"None","HVAC"
"13481","air conditioning & heat                      ","8/1/2011",2234.46,2041.49,"S/L",27.5,"385","Capital Improvements",2.42,25.08,"None","HVAC"
"13482","air conditioning & heat                      ","10/1/2011",961.4,884.2,"S/L",27.5,"385","Capital Improvements",2.25,25.25,"None","HVAC"
"13483","air conditioning & heat                      ","11/1/2011",465.98,429.98,"S/L",27.5,"385","Capital Improvements",2.17,25.33,"None","HVAC"
"13484","air conditioning & heat                      ","12/1/2011",998.96,924.79,"S/L",27.5,"385","Capital Improvements",2.08,25.42,"None","HVAC"
"13485","balconies                                    ","6/1/2011",130,117.98,"S/L",27.5,"385","Capital Improvements",2.59,24.91,"repair below $200","balcony"
"13486","balconies                                    ","8/1/2011",270,246.68,"S/L",27.5,"385","Capital Improvements",2.42,25.08,"None","balcony"
"13489","construction travel                          ","6/1/2011",233.38,211.8,"S/L",27.5,"385","Capital Improvements",2.59,24.91,"None","supervision"
"13496","exterior painting                            ","5/1/2011",9186.83,8309.9,"S/L",27.5,"385","Capital Improvements",2.67,24.83,"None","painting"
"13497","field supervision                            ","5/1/2011",4774.89,4319.11,"S/L",27.5,"385","Capital Improvements",2.67,24.83,"None","supervision"
"13498","field supervision                            ","6/1/2011",4239.33,3847.51,"S/L",27.5,"385","Capital Improvements",2.59,24.91,"None","supervision"
"13499","field supervision                            ","7/1/2011",3341.73,3042.99,"S/L",27.5,"385","Capital Improvements",2.5,25,"None","supervision"
"13500","field supervision                            ","8/1/2011",1166.88,1066.11,"S/L",27.5,"385","Capital Improvements",2.42,25.08,"None","supervision"
"13501","field supervision                            ","8/1/2011",617.01,563.72,"S/L",27.5,"385","Capital Improvements",2.42,25.08,"None","supervision"
"13502","field supervision                            ","9/1/2011",0.18,0.16,"S/L",27.5,"385","Capital Improvements",2.33,25.17,"repair below $200","supervision"
"13503","field supervision                            ","10/1/2011",1077.12,990.62,"S/L",27.5,"385","Capital Improvements",2.25,25.25,"None","supervision"
"13504","field supervision                            ","11/1/2011",0.12,0.12,"S/L",27.5,"385","Capital Improvements",2.17,25.33,"repair below $200","supervision"
"13505","fitness center swipe system                  ","9/1/2011",3384.18,3102.17,"S/L",27.5,"385","Capital Improvements",2.33,25.17,"None","None"
"13507","gym wall mirror                              ","7/1/2011",989.75,901.27,"S/L",27.5,"385","Capital Improvements",2.5,25,"None","irrigation"
"13508","interior painting-apt int                    ","10/1/2011",4168.38,3833.64,"S/L",27.5,"385","Capital Improvements",2.25,25.25,"None","painting"
"13514","lender rehab analysis/inspect-draw fee       ","5/1/2011",300,271.36,"S/L",27.5,"385","Capital Improvements",2.67,24.83,"None","None"
"13520","plumbing-water submeter renovation           ","5/1/2011",47600,43056.36,"S/L",27.5,"385","Capital Improvements",2.67,24.83,"None","water heater"
"13540","structural steel-apt ext                     ","5/1/2011",10174.46,9203.26,"S/L",27.5,"385","Capital Improvements",2.67,24.83,"None","None"
"13541","structural steel-apt ext                     ","8/1/2011",1565,1429.84,"S/L",27.5,"385","Capital Improvements",2.42,25.08,"None","None"
"13542","supervision                                  ","6/1/2011",4524.96,4106.75,"S/L",27.5,"385","Capital Improvements",2.59,24.91,"None","supervision"
"13543","supervision                                  ","7/1/2011",303.2,276.09,"S/L",27.5,"385","Capital Improvements",2.5,25,"None","supervision"
"13544","supervision                                  ","8/1/2011",2160.18,1973.62,"S/L",27.5,"385","Capital Improvements",2.42,25.08,"None","supervision"
"13545","supervision                                  ","9/1/2011",247.41,226.79,"S/L",27.5,"385","Capital Improvements",2.33,25.17,"None","supervision"
"13546","supervision                                  ","10/1/2011",2897.32,2664.65,"S/L",27.5,"385","Capital Improvements",2.25,25.25,"None","supervision"
"13547","supervision                                  ","11/1/2011",493.79,455.63,"S/L",27.5,"385","Capital Improvements",2.17,25.33,"None","supervision"
"13548","water heaters                                ","6/1/2011",2374.96,2155.46,"S/L",27.5,"385","Capital Improvements",2.59,24.91,"None","water heater"
"13549","water heaters                                ","7/1/2011",803.62,731.79,"S/L",27.5,"385","Capital Improvements",2.5,25,"None","water heater"
"13550","water heaters                                ","8/1/2011",401.81,367.11,"S/L",27.5,"385","Capital Improvements",2.42,25.08,"None","water heater"
"13551","water heaters                                ","9/1/2011",401.81,368.33,"S/L",27.5,"385","Capital Improvements",2.33,25.17,"None","water heater"
"13552","water heaters                                ","10/1/2011",861.72,792.51,"S/L",27.5,"385","Capital Improvements",2.25,25.25,"None","water heater"
"13553","water heaters                                ","11/1/2011",803.62,741.53,"S/L",27.5,"385","Capital Improvements",2.17,25.33,"None","water heater"
"13554","water heaters                                ","12/1/2011",1205.44,1115.95,"S/L",27.5,"385","Capital Improvements",2.08,25.42,"None","water heater"
"13555","window screens                               ","6/1/2011",218.81,198.58,"S/L",27.5,"385","Capital Improvements",2.59,24.91,"None","None"
"13556","windows                                      ","5/1/2011",502.53,454.57,"S/L",27.5,"385","Capital Improvements",2.67,24.83,"None","windows"
"13557","air conditioning & heat                      ","12/1/2012",490.4,471.83,"S/L",27.5,"385","Capital Improvements",1.08,26.42,"None","HVAC"
"13558","air conditioning & heat                      ","11/1/2012",1154.04,1106.82,"S/L",27.5,"385","Capital Improvements",1.16,26.34,"None","HVAC"
"13559","air conditioning & heat                      ","10/1/2012",1105.44,1056.87,"S/L",27.5,"385","Capital Improvements",1.25,26.25,"None","HVAC"
"13560","air conditioning & heat                      ","8/1/2012",2112.02,2006.42,"S/L",27.5,"385","Capital Improvements",1.42,26.08,"None","HVAC"
"13561","air conditioning & heat                      ","7/1/2012",2086.56,1975.91,"S/L",27.5,"385","Capital Improvements",1.5,26,"None","HVAC"
"13562","air conditioning & heat                      ","6/1/2012",695.52,656.53,"S/L",27.5,"385","Capital Improvements",1.58,25.92,"None","HVAC"
"13563","air conditioning & heat                      ","5/1/2012",1734.62,1632.12,"S/L",27.5,"385","Capital Improvements",1.67,25.83,"None","HVAC"
"13564","air conditioning & heat                      ","4/1/2012",646.92,606.74,"S/L",27.5,"385","Capital Improvements",1.75,25.75,"None","HVAC"
"13565","air conditioning & heat                      ","3/1/2012",1924.02,1798.67,"S/L",27.5,"385","Capital Improvements",1.84,25.66,"None","HVAC"
"13566","air conditioning & heat                      ","2/1/2012",708.61,660.29,"S/L",27.5,"385","Capital Improvements",1.92,25.58,"None","HVAC"
"13567","air conditioning & heat                      ","1/1/2012",490.22,455.31,"S/L",27.5,"385","Capital Improvements",2,25.5,"None","HVAC"
"13568","exterior painting                            ","9/1/2012",1500,1429.54,"S/L",27.5,"385","Capital Improvements",1.33,26.17,"None","painting"
"13569","field supervision                            ","11/9/2012",550,527.5,"S/L",27.5,"385","Capital Improvements",1.14,26.36,"None","supervision"
"13570","field supervision                            ","10/31/2012",1272,1216.11,"S/L",27.5,"385","Capital Improvements",1.17,26.33,"None","supervision"
"13571","field supervision                            ","9/1/2012",1075,1024.51,"S/L",27.5,"385","Capital Improvements",1.33,26.17,"None","supervision"
"13572","field supervision                            ","8/1/2012",770.5,731.97,"S/L",27.5,"385","Capital Improvements",1.42,26.08,"None","supervision"
"13573","field supervision                            ","7/1/2012",224,212.12,"S/L",27.5,"385","Capital Improvements",1.5,26,"None","supervision"
"13574","field supervision                            ","7/1/2012",400,378.78,"S/L",27.5,"385","Capital Improvements",1.5,26,"None","supervision"
"13575","field supervision                            ","6/1/2012",1725,1628.29,"S/L",27.5,"385","Capital Improvements",1.58,25.92,"None","supervision"
"13576","field supervision                            ","5/1/2012",1160,1091.46,"S/L",27.5,"385","Capital Improvements",1.67,25.83,"None","supervision"
"13577","air conditioning & heat                      ","10/1/2013",1607.45,1595.27,"S/L",27.5,"385","Capital Improvements",0.25,27.25,"None","HVAC"
"13578","air conditioning & heat                      ","11/1/2013",1657.21,1649.68,"S/L",27.5,"385","Capital Improvements",0.16,27.34,"None","HVAC"
"13579","air conditioning & heat                      ","1/1/2013",1950.66,1882.68,"S/L",27.5,"385","Capital Improvements",1,26.5,"None","HVAC"
"13580","air conditioning & heat                      ","4/1/2013",2170.36,2114.46,"S/L",27.5,"385","Capital Improvements",0.75,26.75,"None","HVAC"
"13581","air conditioning & heat                      ","6/1/2013",2767.67,2713.16,"S/L",27.5,"385","Capital Improvements",0.58,26.92,"None","HVAC"
"13582","air conditioning & heat                      ","5/1/2013",2938.29,2871.51,"S/L",27.5,"385","Capital Improvements",0.67,26.83,"None","HVAC"
"13583","air conditioning & heat                      ","8/1/2013",4763.48,4698.52,"S/L",27.5,"385","Capital Improvements",0.42,27.08,"None","HVAC"
"13584","air conditioning & heat                      ","7/1/2013",5676.79,5582.18,"S/L",27.5,"385","Capital Improvements",0.5,27,"None","HVAC"
"13585","air conditioning & heat                      ","9/1/2013",5758.01,5696.94,"S/L",27.5,"385","Capital Improvements",0.33,27.17,"None","HVAC"
"13586","curb & gutter                                ","10/1/2013",1280,608,"150DB",15,"385","Land Improvements",0.25,14.75,"None","curb"
"13587","electrical                                   ","9/1/2013",2300,2275.61,"S/L",27.5,"385","Capital Improvements",0.33,27.17,"None","electrical"
"13588","electrical                                   ","8/1/2013",12075,11910.34,"S/L",27.5,"385","Capital Improvements",0.42,27.08,"None","electrical"
"13589","exterior painting                            ","12/1/2013",30406.51,30360.44,"S/L",27.5,"385","Capital Improvements",0.08,27.42,"None","painting"
"13590","fire protection spec-apt int                 ","9/1/2013",4000,3957.58,"S/L",27.5,"385","Capital Improvements",0.33,27.17,"None","None"
"13592","interior painting-apt int                    ","5/1/2013",3160.6,3088.77,"S/L",27.5,"385","Capital Improvements",0.67,26.83,"None","painting"
"13593","interior painting-apt int                    ","6/1/2013",28445.4,27885.11,"S/L",27.5,"385","Capital Improvements",0.58,26.92,"None","painting"
"13594","landscaping-aux                              ","2/1/2013",5000,2375,"150DB",15,"385","Land Improvements",0.91,14.09,"None","landscaping"
"13595","landscaping-aux                              ","3/1/2013",6563.75,3117.78,"150DB",15,"385","Land Improvements",0.84,14.16,"None","landscaping"
"13596","landscaping-aux                              ","5/1/2013",7030,3339.25,"150DB",15,"385","Land Improvements",0.67,14.33,"None","landscaping"
"13597","landscaping-site                             ","12/1/2013",11703.5,5559.16,"150DB",15,"385","Land Improvements",0.08,14.92,"None","landscaping"
"13598","landscaping-site                             ","5/1/2013",20448.12,9712.86,"150DB",15,"385","Land Improvements",0.67,14.33,"None","landscaping"
"13599","landscaping-site                             ","3/1/2013",33493.38,15909.36,"150DB",15,"385","Land Improvements",0.84,14.16,"None","landscaping"
"13600","lighting & fixtures-apt int                  ","12/1/2013",4798.65,4791.38,"S/L",27.5,"385","Capital Improvements",0.08,27.42,"None","lighting"
"13601","lighting & fixtures-apt int                  ","9/1/2013",6621.35,6551.12,"S/L",27.5,"385","Capital Improvements",0.33,27.17,"None","lighting"
"13602","lighting & fixtures-apt int                  ","10/1/2013",6917.01,6864.61,"S/L",27.5,"385","Capital Improvements",0.25,27.25,"None","lighting"
"13603","interior painting-apt int                    ","11/1/2012",49040.54,47034.34,"S/L",27.5,"385","Capital Improvements",1.16,26.34,"None","painting"
"13604","interior painting-apt int                    ","8/1/2012",2572.63,2444,"S/L",27.5,"385","Capital Improvements",1.42,26.08,"None","painting"
"13605","paving & marking                             ","8/1/2013",43635,20726.62,"150DB",15,"385","Land Improvements",0.42,14.58,"None","parking lot"
"13606","range/ventahood                              ","10/1/2013",1149.76,459.9,"200DB",5,"385","Furniture & Fixtures",0.25,4.75,"None","range"
"13607","range/ventahood                              ","7/1/2013",1179.11,471.65,"200DB",5,"385","Furniture & Fixtures",0.5,4.5,"None","range"
"13608","range/ventahood                              ","3/1/2013",1501.1,600.44,"200DB",5,"385","Furniture & Fixtures",0.84,4.16,"None","range"
"13609","range/ventahood                              ","12/1/2013",1749.63,699.85,"200DB",5,"385","Furniture & Fixtures",0.08,4.92,"None","range"
"13610","major plumbing replacements                  ","7/1/2012",950,899.62,"S/L",27.5,"385","Capital Improvements",1.5,26,"None","plumbing"
