"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"3047","supervision                                  ","8/1/2012",970.31,921.8,"S/L",27.5,"180","Capital Improvements",1.42,26.08,"None","supervision"
"3048","supervision                                  ","7/1/2012",1318.76,1248.83,"S/L",27.5,"180","Capital Improvements",1.5,26,"None","supervision"
"3049","supervision - apr. '12 mgmt. fee             ","4/1/2012",1259.31,1181.08,"S/L",27.5,"180","Capital Improvements",1.75,25.75,"None","supervision"
"3050","vaulted ceiling- proj 40                     ","1/1/2012",3750,3482.96,"S/L",27.5,"180","Capital Improvements",2,25.5,"None","None"
"3051","vaulted ceiling repair                       ","3/1/2012",1200,1121.81,"S/L",27.5,"180","Capital Improvements",1.84,25.66,"None","repair"
"3052","water heater (stock)                         ","3/1/2012",289.18,270.34,"S/L",27.5,"180","Capital Improvements",1.84,25.66,"None","water heater"
"3053","water heaters                                ","10/1/2012",256.8,245.51,"S/L",27.5,"180","Capital Improvements",1.25,26.25,"None","water heater"
"3054","water heaters                                ","8/1/2012",1052.88,1000.23,"S/L",27.5,"180","Capital Improvements",1.42,26.08,"None","water heater"
"3055","water heaters                                ","7/1/2012",380,359.85,"S/L",27.5,"180","Capital Improvements",1.5,26,"None","water heater"
"3056","water heaters                                ","6/1/2012",328,309.61,"S/L",27.5,"180","Capital Improvements",1.58,25.92,"None","water heater"
"3057","water heaters                                ","1/1/2012",281.58,261.53,"S/L",27.5,"180","Capital Improvements",2,25.5,"None","water heater"
"3058","water heaters - office                       ","4/1/2012",235,220.4,"S/L",27.5,"180","Capital Improvements",1.75,25.75,"None","water heater"
"3059","wood stair assemblies                        ","10/1/2012",3777,3611.04,"S/L",27.5,"180","Capital Improvements",1.25,26.25,"None","stairs"
"3060","tools - maintenance                          ","6/1/2012",49.97,11.99,"200DB",5,"180","Equipment",1.58,3.42,"repair below $200","None"
"3061","1 stove/2 range hoods                        ","2/1/2012",760.86,182.6,"200DB",5,"180","Furniture & Fixtures",1.92,3.08,"None","range"
"3062","2 refrigerators                              ","3/1/2012",1154.9,277.18,"200DB",5,"180","Furniture & Fixtures",1.84,3.16,"None","refrigerator"
"3063","3 refrigerator's                             ","2/1/2012",1727.35,414.56,"200DB",5,"180","Furniture & Fixtures",1.92,3.08,"None","refrigerator"
"3064","6 dishwashers                                ","2/1/2012",1615.76,387.78,"200DB",5,"180","Furniture & Fixtures",1.92,3.08,"None","dishwasher"
"3065","appliances                                   ","7/1/2012",12223.68,2933.68,"200DB",5,"180","Furniture & Fixtures",1.5,3.5,"None","appliances"
"3066","blinds- proj 40                              ","1/1/2012",5262.47,1262.99,"200DB",5,"180","Furniture & Fixtures",2,3,"None","None"
"3067","carpet                                       ","3/1/2012",868.8,208.51,"200DB",5,"180","Furniture & Fixtures",1.84,3.16,"None","carpet"
"3068","carpet- proj 40                              ","2/1/2012",850.97,204.23,"200DB",5,"180","Furniture & Fixtures",1.92,3.08,"None","carpet"
